artist,title,proficiency,link,lyrics_link,chords_link
Jack Johnson,Sitting Waiting Wishing,☆☆☆☆☆,https://www.youtube.com/watch?v=IhTvifGShw4,https://www.google.com/search?q=Sitting+Waiting+Wishing+Jack+Johnson+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Sitting+Waiting+Wishing+Jack+Johnson+chords
Jim Croce,Operator,★☆☆☆☆,https://www.youtube.com/watch?v=khYxP7TiFSA,https://www.google.com/search?q=Operator+Jim+Croce+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Operator+Jim+Croce
Jimmy Buffet,Margaritaville,☆☆☆☆☆,https://www.youtube.com/watch?v=mrF4nF8VUb4,https://www.google.com/search?q=Margaritaville+Jimmy+Buffet+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Margaritaville+Jimmy+Buffet+chords
Learn to Fly,Foo FIghters,☆☆☆☆☆,https://www.youtube.com/watch?v=1VQ_3sBZEm0,https://www.google.com/search?q=Foo+FIghters+Learn+to+Fly+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Foo+FIghters+Learn+to+Fly+chords
Ludo,Love Me Dead,☆☆☆☆☆,https://www.youtube.com/watch?v=0XH3oMNKApI,https://www.google.com/search?q=Love+Me+Dead+Ludo+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Love+Me+Dead+Ludo+chords
Marcy Playground,Sex And Candy,☆☆☆☆☆,https://www.youtube.com/watch?v=-KT-r2vHeMM,https://www.google.com/search?q=Sex+And+Candy+Marcy+Playground+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Sex+And+Candy+Marcy+Playground+chords
Meredith Brooks,Bitch,☆☆☆☆☆,https://www.youtube.com/watch?v=_ivt_N2Zcts,https://www.google.com/search?q=Bitch+Meredith+Brooks+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Bitch+Meredith+Brooks+chords
Nirvana,Man Who Sold The World,☆☆☆☆☆,https://www.youtube.com/watch?v=fregObNcHC8,https://www.google.com/search?q=Man+Who+Sold+The+World+Nirvana+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Man+Who+Sold+The+World+Nirvana+chords
Oasis,Don't Look Back In Anger,☆☆☆☆☆,https://www.youtube.com/watch?v=cmpRLQZkTb8,https://www.google.com/search?q=Don%27t+Look+Back+In+Anger+Oasis+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Don%27t+Look+Back+In+Anger+Oasis+chords
OutKast,Roses,☆☆☆☆☆,https://www.youtube.com/watch?v=gWju37TZfo0,https://www.google.com/search?q=Roses+OutKast+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Roses+OutKast+chords
Pearl Jam,Last Kiss,☆☆☆☆☆,https://www.youtube.com/watch?v=tNDWJ_KDkAc,https://www.google.com/search?q=Last+Kiss+Pearl+Jam+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Last+Kiss+Pearl+Jam+chords
Pink Floyd,Wish You Were Here,☆☆☆☆☆,https://www.youtube.com/watch?v=IXdNnw99-Ic,https://www.google.com/search?q=Wish+You+Were+Here+Pink+Floyd+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Wish+You+Were+Here+Pink+Floyd+chords
Pixies,Where Is My Mind,☆☆☆☆☆,https://www.youtube.com/watch?v=OJ62RzJkYUo,https://www.google.com/search?q=Where+Is+My+Mind+Pixies+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Where+Is+My+Mind+Pixies+chords
Red Hot Chili Peppers,Under The Bridge,☆☆☆☆☆,https://www.youtube.com/watch?v=GLvohMXgcBo,https://www.google.com/search?q=Under+The+Bridge+Red+Hot+Chili+Peppers+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Under+The+Bridge+Red+Hot+Chili+Peppers+chords
Rob Thomas,How I used to be,★☆☆☆☆,https://www.youtube.com/watch?v=vvwty1FPSxI,https://www.google.com/search?q=How+I+used+to+be+Rob+Thomas+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=How+I+used+to+be+Rob+Thomas
Sublime,Summertime,☆☆☆☆☆,https://www.youtube.com/watch?v=ayE6Shlv598,https://www.google.com/search?q=Summertime+Sublime+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Summertime+Sublime+chords
Sublime,Caress Me Down,☆☆☆☆☆,https://www.youtube.com/watch?v=-V97ECdX1nE,https://www.google.com/search?q=Caress+Me+Down+Sublime+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Caress+Me+Down+Sublime+chords
Sublime,Badfish,☆☆☆☆☆,https://www.youtube.com/watch?v=rmadSGJCzo8,https://www.google.com/search?q=Badfish+Sublime+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Badfish+Sublime+chords
Sublime,Garden Grove,☆☆☆☆☆,https://www.youtube.com/watch?v=qpSo_zj0UQw,https://www.google.com/search?q=Garden+Grove+Sublime+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Garden+Grove+Sublime
Sublime,Santeria,★★★☆☆,https://www.youtube.com/watch?v=AEYN5w4T_aM,https://www.google.com/search?q=Santeria+Sublime+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Santeria+Sublime+chords
Sublime,Smoke Two Joints,★☆☆☆☆,https://www.youtube.com/watch?v=KQnzeKKg7Yc,https://www.google.com/search?q=Smoke+Two+Joints+Sublime+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Smoke+Two+Joints+Sublime
Sublime,What I Got,☆☆☆☆☆,https://www.youtube.com/watch?v=0Uc3ZrmhDN4,https://www.google.com/search?q=What+I+Got+Sublime+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=What+I+Got+Sublime+chords
Sublime,Wrong Way,☆☆☆☆☆,https://www.youtube.com/watch?v=uLifSFBs_Lk,https://www.google.com/search?q=Wrong+Way+Sublime+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Wrong+Way+Sublime
The Cardigans,Lovefool,☆☆☆☆☆,https://www.youtube.com/watch?v=NI6aOFI7hms,https://www.google.com/search?q=Lovefool+The+Cardigans+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Lovefool+The+Cardigans+chords
Tom Petty,Last Dance With Mary Jane,☆☆☆☆☆,https://www.youtube.com/watch?v=aowSGxim_O8,https://www.google.com/search?q=Last+Dance+With+Mary+Jane+Tom+Petty+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Last+Dance+With+Mary+Jane+Tom+Petty+chords
Tracy Bonham,Mother Mother,★☆☆☆☆,https://www.youtube.com/watch?v=2Xi8NvSetZc,https://www.google.com/search?q=Mother+Mother+Tracy+Bonham+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Mother+Mother+Tracy+Bonham+chords
Weezer,Sweater Song,☆☆☆☆☆,https://www.youtube.com/watch?v=LHQqqM5sr7g,https://www.google.com/search?q=Sweater+Song+Weezer+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Sweater+Song+Weezer+chords
Weezer,Holiday,☆☆☆☆☆,https://www.youtube.com/watch?v=r0c06lWyjJk,https://www.google.com/search?q=Holiday+Weezer+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Holiday+Weezer+chords
